19:24:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:24:26  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:24:26  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:24:26  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:24:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:24:26  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:24:26  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:24:26  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:24:27  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:24:27  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:24:27  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:24:27  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:24:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:24:27  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:24:27  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:24:27  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:24:28  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:24:28  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:24:28  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:24:28  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:24:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:24:28  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:24:28  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:24:28  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:24:29  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:24:29  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:24:29  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:24:29  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:24:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:24:29  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:24:29  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:24:29  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:24:30  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:24:30  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:24:30  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:24:30  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:24:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:24:30  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:24:30  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:24:30  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:24:31  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:24:31  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:24:31  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:24:31  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:24:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:24:31  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:24:31  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:24:31  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:24:32  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:24:32  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:24:32  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:24:32  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:24:32  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:24:32  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:24:32  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:24:32  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:24:33  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:24:33  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:24:33  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:24:33  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:24:33  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:24:33  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:24:33  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:24:33  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:24:34  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:24:34  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:24:34  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:24:34  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:24:34  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:24:34  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:24:34  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
