??:??:??  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
??:??:??  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
??:??:??  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
??:??:??  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:27  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:28  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:28  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:28  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:28  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:28  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:28  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:28  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:29  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:29  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:29  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:29  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:29  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:29  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:29  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:30  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:30  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:30  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:30  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:30  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:30  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:30  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:31  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:31  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:31  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:31  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:12:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:31  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:31  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:12:31  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:31  L -> UBX MON,  Size   8,  'Monitor'
00:12:31  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
