00:06:39  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:40  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:06:40  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:06:40  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:40  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:06:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:40  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:06:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:40  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:40  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:41  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:06:41  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:06:41  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:41  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:06:41  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:41  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:06:41  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:41  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:41  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:42  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:06:42  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:06:42  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:42  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:06:42  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:42  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:42  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:42  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:42  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:43  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:06:43  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:06:43  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:43  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:06:43  L -> UBX MON,  Size   8,  'Monitor'
00:06:43  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:43  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:43  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:43  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:43  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:44  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:06:44  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:06:44  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:44  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:06:44  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:44  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:44  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:44  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:44  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:44  L -> UBX MON,  Size   8,  'Monitor'
00:06:45  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:06:45  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:06:45  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:45  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:06:45  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:45  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:45  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:45  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:45  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:45  L -> UBX CFG,  Size   8,  'Config'
00:06:46  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:06:46  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:06:46  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:46  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:06:46  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
